legacy_detail_id,order_no,defect_code,symptom,critical_rank,quantity
d595cf02,QC26051148,"12308 , 11008","พิมพ์บาง/Printing too thin , สีไม่ตรง STD /Color off Standard",Minor,313
d43fca8c,QC26051148,"12308 , 11008 , 12309","พิมพ์บาง/Printing too thin , สีไม่ตรง STD /Color off Standard , จุดสี/color dot",Minor,2
f71194ac,QC26051147,"12308 , 12309","สีไม่ตรง STD /Color off Standard , จุดสี/color dot",Minor,1
7774c7bb,QC26051149,11010,พิมพ์แตก/Printing cracked,Minor,81
f3f4c6e8,QC26051149,12313,เป็นเม็ด/Dot,Minor,41
6c14bb09,QC26051149,12370,ไม่สมมาตร / Incomplete,Minor,2
80d8ae87,QC26051149,12304,ถลอก/Peel off,Minor,1
e89c389d,QC26051150,"11008 , 12308","พิมพ์บาง/Printing too thin , สีไม่ตรง STD /Color off Standard",Minor,998
7cb932ae,QC26051150,"11010 , 12308","พิมพ์แตก/Printing cracked , สีไม่ตรง STD /Color off Standard",Minor,2
a4bc9ebd,QC26051151,12356,เส้นผม/hair,Critical,1
b632bec9,QC26051151,12310,ฝุ่น/Dust,Minor,455
0f5949a2,QC26051151,"12107 , 12310","ประกอบไม่สุด/Assembled not complete , ฝุ่น/Dust",Minor,39
6cbb35ad,QC26051151,"12322 , 12310","ฝุ่น/Dust , แหว่ง/chip",Minor,2
4c575b4e,QC26051151,"12349 , 12310","ฝุ่น/Dust , เอียง/sloping",Minor,2
a1601787,QC26051151,"12309 , 12310","จุดสี/color dot , ฝุ่น/Dust",Minor,1
1c187394,QC26051152,12309,จุดสี/color dot,Minor,36
1e5678ca,QC26051153,12346,คราบกาว/glue stains,Minor,3
24b12b32,QC26051153,12318,รอยเส้น/Trace mark,Minor,1
c3b207f5,QC26051153,12317,เป็นสนิม/Rust,Minor,1
13825faf,QC26051154,12311,คราบวาสลีน/Vaseline stain,Minor,43
4618aac0,QC26051154,12312,คราบสกปรก/Dirty,Minor,2
e1b73530,QC26051154,12313,เป็นเม็ด/Dot,Minor,1
b2795eff,QC26051155,12312,คราบสกปรก/Dirty,Minor,37
ba1e9f12,QC26051156,15308,สีไม่ตรง STD /Color off Standard,Minor,80
2d5b944b,QC26051157,12349,เอียง/sloping,Minor,28
2e666d1f,QC26051158,14128,ส่วนประกอบไม่ครบ/Missing components,Major,1
a3dd3eaa,QC26051159,15308,สีไม่ตรง STD /Color off Standard,Minor,80
f6414385,QC26051160,12309,จุดสี/color dot,Minor,3
7e50cfc3,QC26051161,12346,คราบกาว/glue stains,Minor,5
f492b1aa,QC26051161,12312,คราบสกปรก/Dirty,Minor,6
4010fc7b,QC26051161,12303,รอยย่น/Wrinkle,Minor,4
e3b15c1d,QC26051161,12127,ประกอบไม่สนิท / Incomplete,Minor,1
6af23f27,QC26051162,12310,ฝุ่น/Dust,Minor,490
1309b006,QC26051162,12107,ประกอบไม่สุด/Assembled not complete,Minor,7
49286c90,QC26051162,12349,เอียง/sloping,Minor,3
616ba346,QC26051163,12372,โดนความร้อน/Has mark from heat,Minor,8
2c43418b,QC26051164,12308,สีไม่ตรง STD /Color off Standard,Minor,173
a147e972,QC26051164,12301,รอยด่าง/stain spot,Minor,27
8b5f8766,QC26051165,12312,คราบสกปรก/Dirty,Minor,38
ef19db18,QC26051165,12340,เปื้อนตัวยา / stain bulk,Minor,4
201608db,QC26051165,12309,จุดสี/color dot,Minor,3
a041c251,QC26051166,11007,พิมพ์หนา/Printing too thick,Minor,309
ac19f882,QC26051166,"11007 , 11009","พิมพ์หนา/Printing too thick , พิมพ์ถลอก/Printing Peel off",Minor,2
6cd3b585,QC26051166,"11007 , 12327","พิมพ์หนา/Printing too thick , รอยขีด/scratch mark",Minor,3
1a3c76f5,QC26051166,"12309 , 11007","พิมพ์หนา/Printing too thick , จุดสี/color dot",Minor,1
09dceee5,QC26051167,12308,สีไม่ตรง STD /Color off Standard,Minor,893
ea5242b4,QC26051167,"12308 , 12327","สีไม่ตรง STD /Color off Standard , รอยขีด/scratch mark",Minor,52
3f501da5,QC26051167,"12308 , 12310","สีไม่ตรง STD /Color off Standard , ฝุ่น/Dust",Minor,6
5cc45d53,QC26051167,"12308 , 12304","ถลอก/Peel off , สีไม่ตรง STD /Color off Standard",Minor,5
8edde28b,QC26051167,"12308 , 12341","สีไม่ตรง STD /Color off Standard , เปื้อนสี / stain color",Minor,3
f4ca4a08,QC26051167,"12308 , 12312","สีไม่ตรง STD /Color off Standard , คราบสกปรก/Dirty",Minor,2
1d2593cb,QC26051167,"12308 , 12372","สีไม่ตรง STD /Color off Standard , โดนความร้อน/Has mark from heat",Minor,1
49cc0c1b,QC26051167,"12308 , 12313","สีไม่ตรง STD /Color off Standard , เป็นเม็ด/Dot",Minor,1
283d058f,QC26051167,"12308 , 12318","สีไม่ตรง STD /Color off Standard , รอยเส้น/Trace mark",Minor,1
dd19a991,QC26051171,12310,ฝุ่น/Dust,Critical,1
